epoch,utc_time,stage,total_versions,max_versions,total_rowsets,max_rowsets,total_segments,max_segments,data_size,num_rows
1787907765.486208,2026-08-28T09:02:45+00:00,http_log_35m_x1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1787907770.49966,2026-08-28T09:02:50+00:00,http_log_35m_x1,4.0,4.0,4.0,4.0,4.0,4.0,4834957.0,155.0
1787907775.503655,2026-08-28T09:02:55+00:00,http_log_35m_x1,5.0,5.0,5.0,5.0,5.0,5.0,9376291.0,310.0
1787907780.510613,2026-08-28T09:03:00+00:00,http_log_35m_x1,6.0,6.0,6.0,6.0,6.0,6.0,13267073.0,465.0
1787907785.531245,2026-08-28T09:03:05+00:00,http_log_35m_x1,7.0,7.0,7.0,7.0,7.0,7.0,17988315.0,620.0
1787907790.554048,2026-08-28T09:03:10+00:00,http_log_35m_x1,4.0,4.0,4.0,4.0,4.0,4.0,22131933.0,775.0
1787907795.5761049,2026-08-28T09:03:15+00:00,http_log_35m_x1,5.0,5.0,5.0,5.0,5.0,5.0,27069276.0,930.0
1787907800.5953019,2026-08-28T09:03:20+00:00,http_log_35m_x1,6.0,6.0,6.0,6.0,6.0,6.0,31655174.0,1085.0
1787907805.620668,2026-08-28T09:03:25+00:00,http_log_35m_x1,7.0,7.0,7.0,7.0,7.0,7.0,36022046.0,1240.0
1787907810.642925,2026-08-28T09:03:30+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,41464361.0,1395.0
1787907815.66322,2026-08-28T09:03:35+00:00,http_log_35m_x1,9.0,9.0,9.0,9.0,9.0,9.0,45484209.0,1550.0
1787907820.685504,2026-08-28T09:03:40+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,49153971.0,1705.0
1787907825.705323,2026-08-28T09:03:45+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,53702837.0,1860.0
1787907830.723396,2026-08-28T09:03:50+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,58587382.0,2015.0
1787907835.7374542,2026-08-28T09:03:55+00:00,http_log_35m_x1,9.0,9.0,9.0,9.0,9.0,9.0,62254089.0,2170.0
1787907840.749173,2026-08-28T09:04:00+00:00,http_log_35m_x1,6.0,6.0,6.0,6.0,6.0,6.0,66394009.0,2325.0
1787907845.77211,2026-08-28T09:04:05+00:00,http_log_35m_x1,7.0,7.0,7.0,7.0,7.0,7.0,70494917.0,2480.0
1787907850.7918122,2026-08-28T09:04:10+00:00,http_log_35m_x1,8.0,8.0,8.0,8.0,8.0,8.0,74649838.0,2635.0
1787907855.817228,2026-08-28T09:04:15+00:00,http_log_35m_x1,9.0,9.0,9.0,9.0,9.0,9.0,80037110.0,2790.0
1787907860.842579,2026-08-28T09:04:20+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,84343108.0,2945.0
1787907865.863494,2026-08-28T09:04:25+00:00,http_log_35m_x1,7.0,7.0,7.0,7.0,7.0,7.0,87798404.0,3100.0
1787907870.888893,2026-08-28T09:04:30+00:00,http_log_35m_x1,9.0,9.0,9.0,9.0,9.0,9.0,93176676.0,3286.0
