batch,logical_second,utc_time,label,payload_bytes,rows,latency_ms,status,loaded_rows,loaded_bytes,load_time_ms
0,0,2026-08-28T08:21:12+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00000,526647,31,379.358,Success,31,526647,374
1,1,2026-08-28T08:21:13+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00001,524862,31,380.077,Success,31,524862,371
2,2,2026-08-28T08:21:14+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00002,526101,31,411.822,Success,31,526101,408
3,3,2026-08-28T08:21:15+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00003,524883,31,345.746,Success,31,524883,338
4,4,2026-08-28T08:21:16+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00004,526009,31,444.181,Success,31,526009,446
5,5,2026-08-28T08:21:17+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00005,526680,31,399.396,Success,31,526680,399
6,6,2026-08-28T08:21:18+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00006,526424,31,318.848,Success,31,526424,317
7,7,2026-08-28T08:21:19+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00007,525782,31,463.988,Success,31,525782,463
8,8,2026-08-28T08:21:20+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00008,525637,31,371.965,Success,31,525637,370
9,9,2026-08-28T08:21:21+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00009,525785,31,424.229,Success,31,525785,422
10,10,2026-08-28T08:21:22+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00010,525560,31,314.205,Success,31,525560,309
11,11,2026-08-28T08:21:23+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00011,527298,31,299.715,Success,31,527298,296
12,12,2026-08-28T08:21:24+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00012,525854,31,406.551,Success,31,525854,402
13,13,2026-08-28T08:21:25+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00013,524887,31,476.526,Success,31,524887,470
14,14,2026-08-28T08:21:26+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00014,526969,31,335.081,Success,31,526969,332
15,15,2026-08-28T08:21:27+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00015,526807,31,408.18,Success,31,526807,406
16,16,2026-08-28T08:21:28+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00016,526348,31,358.976,Success,31,526348,355
17,17,2026-08-28T08:21:29+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00017,525702,31,431.909,Success,31,525702,428
18,18,2026-08-28T08:21:30+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00018,526002,31,385.647,Success,31,526002,382
19,19,2026-08-28T08:21:31+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00019,527589,31,324.901,Success,31,527589,320
20,20,2026-08-28T08:21:32+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00020,525788,31,333.149,Success,31,525788,328
21,21,2026-08-28T08:21:33+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00021,526108,31,441.087,Success,31,526108,436
22,22,2026-08-28T08:21:34+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00022,525473,31,485.678,Success,31,525473,481
23,23,2026-08-28T08:21:35+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00023,526527,31,386.837,Success,31,526527,382
24,24,2026-08-28T08:21:36+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00024,526260,31,337.493,Success,31,526260,333
25,25,2026-08-28T08:21:37+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00025,524945,31,439.356,Success,31,524945,434
26,26,2026-08-28T08:21:38+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00026,525554,31,364.579,Success,31,525554,359
27,27,2026-08-28T08:21:39+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00027,525462,31,519.464,Success,31,525462,515
28,28,2026-08-28T08:21:40+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00028,526235,31,416.871,Success,31,526235,410
29,29,2026-08-28T08:21:41+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00029,526623,31,367.8,Success,31,526623,363
30,30,2026-08-28T08:21:42+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00030,525790,31,328.057,Success,31,525790,322
31,31,2026-08-28T08:21:43+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00031,526905,31,299.054,Success,31,526905,293
32,32,2026-08-28T08:21:44+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00032,526170,31,482.978,Success,31,526170,478
33,33,2026-08-28T08:21:45+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00033,526858,31,445.454,Success,31,526858,440
34,34,2026-08-28T08:21:46+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00034,527207,31,387.142,Success,31,527207,382
35,35,2026-08-28T08:21:47+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00035,526577,31,438.149,Success,31,526577,431
36,36,2026-08-28T08:21:48+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00036,526169,31,379.044,Success,31,526169,373
37,37,2026-08-28T08:21:49+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00037,526295,31,540.407,Success,31,526295,535
38,38,2026-08-28T08:21:50+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00038,525925,31,412.634,Success,31,525925,407
39,39,2026-08-28T08:21:51+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_00039,526825,31,421.669,Success,31,526825,416
